Entry,Entry name,Gene names,Protein families
Q96NG5,ZN558_HUMAN,ZNF558,Krueppel C2H2-type zinc-finger protein family
Q6ZN19,ZN841_HUMAN,ZNF841,Krueppel C2H2-type zinc-finger protein family
Q9UI25,YP002_HUMAN,PRO0461,
Q86XN6,ZN761_HUMAN,ZNF761 KIAA2033,Krueppel C2H2-type zinc-finger protein family
A8MUZ8,Z705G_HUMAN,ZNF705G,Krueppel C2H2-type zinc-finger protein family
Q08ER8,ZN543_HUMAN,ZNF543,Krueppel C2H2-type zinc-finger protein family
Q9GZX5,ZN350_HUMAN,ZNF350 ZBRK1,Krueppel C2H2-type zinc-finger protein family
Q9GZP7,VN1R1_HUMAN,VN1R1 V1RL1 VNR19I1,G-protein coupled receptor 1 family
Q3MJ13,WDR72_HUMAN,WDR72,
Q9NY84,VNN3_HUMAN,VNN3,"Carbon-nitrogen hydrolase superfamily, BTD/VNN family"
B1APH4,ZN487_HUMAN,ZNF487 KRBO1 ZNF487P,Krueppel C2H2-type zinc-finger protein family
Q9HBT8,Z286A_HUMAN,ZNF286A KIAA1874 ZNF286,Krueppel C2H2-type zinc-finger protein family
Q76KX8,ZN534_HUMAN,ZNF534 KRBO3,Krueppel C2H2-type zinc-finger protein family
Q96E35,ZMY19_HUMAN,ZMYND19 MIZIP,
P38606,VATA_HUMAN,ATP6V1A ATP6A1 ATP6V1A1 VPP2,ATPase alpha/beta chains family
Q9BZH6,WDR11_HUMAN,WDR11 BRWD2 KIAA1351 WDR15,
Q6ZS52,YF013_HUMAN,,
A8MVM7,YD021_HUMAN,,
Q9BRH9,ZN251_HUMAN,ZNF251,Krueppel C2H2-type zinc-finger protein family
Q7Z3T8,ZFY16_HUMAN,ZFYVE16 KIAA0305,
Q96DA0,ZG16B_HUMAN,ZG16B UNQ773/PRO1567,Jacalin lectin family
Q9UI54,YT001_HUMAN,PRO0628,
Q8IYP9,ZDH23_HUMAN,ZDHHC23,DHHC palmitoyltransferase family
Q68DK2,ZFY26_HUMAN,ZFYVE26 KIAA0321,
Q9UFB7,ZBT47_HUMAN,ZBTB47 KIAA1190 ZNF651,Krueppel C2H2-type zinc-finger protein family
O15062,ZBTB5_HUMAN,ZBTB5 KIAA0354,
Q9C0B5,ZDHC5_HUMAN,ZDHHC5 KIAA1748 ZNF375,"DHHC palmitoyltransferase family, ERF2/ZDHHC9 subfamily"
Q96M85,YV008_HUMAN,,
Q32M78,ZN699_HUMAN,ZNF699,Krueppel C2H2-type zinc-finger protein family
Q5VIY5,ZN468_HUMAN,ZNF468,Krueppel C2H2-type zinc-finger protein family
Q9NTW7,ZF64B_HUMAN,ZFP64 ZNF338,Krueppel C2H2-type zinc-finger protein family
Q3ZCX4,ZN568_HUMAN,ZNF568,Krueppel C2H2-type zinc-finger protein family
Q99536,VAT1_HUMAN,VAT1,"Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily"
Q5BKZ1,ZN326_HUMAN,ZNF326 ZIRD,AKAP95 family
Q9H0M5,ZN700_HUMAN,ZNF700,Krueppel C2H2-type zinc-finger protein family
Q02386,ZNF45_HUMAN,ZNF45 KOX5 ZNF13,Krueppel C2H2-type zinc-finger protein family
P17031,ZNF26_HUMAN,ZNF26 KOX20,Krueppel C2H2-type zinc-finger protein family
P17038,ZNF43_HUMAN,ZNF43 KOX27 ZNF39 ZNF39L1,Krueppel C2H2-type zinc-finger protein family
Q96MX3,ZNF48_HUMAN,ZNF48 ZNF553,Krueppel C2H2-type zinc-finger protein family
Q96K83,ZN521_HUMAN,ZNF521 EHZF LIP3,Krueppel C2H2-type zinc-finger protein family
A8MVS1,Z705F_HUMAN,ZNF705F,Krueppel C2H2-type zinc-finger protein family
P17035,ZNF28_HUMAN,ZNF28 KOX24,Krueppel C2H2-type zinc-finger protein family
O00488,ZN593_HUMAN,ZNF593 ZT86,ZNF593/BUD20 C2H2-type zinc-finger protein family
P58317,ZN121_HUMAN,ZNF121 ZNF20,Krueppel C2H2-type zinc-finger protein family
Q96MR9,ZN560_HUMAN,ZNF560,Krueppel C2H2-type zinc-finger protein family
Q3KQV3,ZN792_HUMAN,ZNF792,Krueppel C2H2-type zinc-finger protein family
Q8N184,ZN567_HUMAN,ZNF567,Krueppel C2H2-type zinc-finger protein family
Q8N814,YG045_HUMAN,,
Q9ULM3,YETS2_HUMAN,YEATS2 KIAA1197,
Q9NXF8,ZDHC7_HUMAN,ZDHHC7,DHHC palmitoyltransferase family
Q8WTX9,ZDHC1_HUMAN,ZDHHC1 C16orf1 ZNF377,DHHC palmitoyltransferase family
Q8NB50,ZFP62_HUMAN,ZFP62,Krueppel C2H2-type zinc-finger protein family
